experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=257,28,1171427110,64,128,257,4.0,,gaussian,1000,974,26,0.974,0.026,-20.658,25.176,22.62867855384165,2.5708999601192772e-05,0.006801124996854924,0.002388124994467944,6.8011249968549235e-06,2.388124994467944e-06,,,,9360
q_sweep,q=257,29,884100708,64,128,257,4.0,,gaussian,1000,997,3,0.997,0.003,1.125,17.781,22.070624990867103,2.5374989490956068e-05,0.006741207995219156,0.002416374991298653,6.7412079952191565e-06,2.416374991298653e-06,,,,9360
q_sweep,q=389,0,3876065477,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,-7.278,18.672,22.309334871806968,2.562499139457941e-05,0.006782500000554137,0.0024307080020662397,6.782500000554137e-06,2.4307080020662396e-06,,,,9360
q_sweep,q=389,1,4200255198,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,4.351,16.685,20.564500910493734,2.5874993298202753e-05,0.006797207999625243,0.002403708000201732,6.797207999625243e-06,2.403708000201732e-06,,,,9360
q_sweep,q=389,2,717094247,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,9.636,21.45,25.153413251449557,2.358399797230959e-05,0.006795167006202973,0.002388833003351465,6.795167006202973e-06,2.3888330033514648e-06,,,,9360
q_sweep,q=389,3,3840550710,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,2.644,18.004,22.28227465416769,2.591600059531629e-05,0.006784207987948321,0.002420707998680882,6.784207987948321e-06,2.4207079986808823e-06,,,,9360
q_sweep,q=389,4,2357184221,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,7.984,19.872,23.325389982116437,2.579099964350462e-05,0.006795416004024446,0.0023921670072013512,6.795416004024446e-06,2.392167007201351e-06,,,,9360
q_sweep,q=389,5,2431493440,64,128,389,4.0,,gaussian,1000,996,4,0.996,0.004,44.33,44.802,22.673888180133666,2.5583009119145572e-05,0.006797124995500781,0.00245612500293646,6.797124995500781e-06,2.45612500293646e-06,,,,9360
q_sweep,q=389,6,2023945075,64,128,389,4.0,,gaussian,1000,1000,0,1.0,0.0,8.292,21.306,25.53128634798064,2.575000689830631e-05,0.006785125005990267,0.0024032499932218343,6.785125005990267e-06,2.4032499932218342e-06,,,,9360
q_sweep,q=389,7,3110905650,64,128,389,4.0,,gaussian,1000,996,4,0.996,0.004,-29.586,32.128,24.08490578529812,2.4082997697405517e-05,0.006791333013097756,0.0024186660011764616,6.791333013097756e-06,2.4186660011764616e-06,,,,9360
